# Gold Foil
# reference foil measured at the GILDA-BM08 Bemaline ESRF.FR
# Temperature 300 K
#
# energy     Io,      It       alpha     ----
12845.351410 0.685570 0.344140 0.689202 12845.254400
12848.566420 0.685025 0.344535 0.687260 12848.952440
12851.909310 0.684322 0.344788 0.685501 12852.286160
12855.332520 0.684577 0.345463 0.683918 12855.444510
12858.758780 0.684595 0.346040 0.682273 12858.647390
12861.964880 0.683955 0.346370 0.680385 12862.137890
12865.247860 0.683438 0.346680 0.678733 12865.658730
12868.721840 0.683765 0.347533 0.676756 12869.002020
12872.093980 0.682970 0.347655 0.675240 12872.011850
12875.367540 0.682935 0.348295 0.673350 12875.353970
12878.683950 0.683283 0.349112 0.671514 12879.076060
12882.093560 0.683560 0.349895 0.669681 12882.450140
12885.476480 0.684620 0.351000 0.668078 12885.492860
12888.793770 0.685440 0.352063 0.666252 12888.713570
12892.134600 0.685710 0.352895 0.664284 12892.453680
12895.508150 0.684283 0.352835 0.662370 12895.934100
12898.891580 0.685697 0.354173 0.660652 12899.090070
12902.268840 0.685083 0.354403 0.659106 12902.181080
12905.628460 0.685135 0.355140 0.657104 12905.706610
12908.929090 0.685462 0.356027 0.655086 12909.348340
12912.316450 0.684850 0.356330 0.653343 12912.644040
12915.752770 0.684770 0.356903 0.651620 12915.694180
12919.073770 0.685222 0.357778 0.649832 12919.029740
12922.409200 0.685560 0.358693 0.647771 12922.803850
12925.826990 0.685280 0.359233 0.645858 12926.187870
12929.270850 0.685767 0.360048 0.644303 12929.284700
12932.652120 0.684377 0.360005 0.642392 12932.509310
12935.991440 0.684735 0.360900 0.640431 12936.211110
12939.475570 0.684948 0.361667 0.638617 12939.777500
12943.006670 0.685688 0.362692 0.636867 12943.050260
12946.356210 0.685063 0.362970 0.635190 12946.144970
12949.677530 0.685298 0.363820 0.633194 12949.607100
12953.079230 0.684345 0.363990 0.631336 12953.324300
12956.446960 0.685075 0.365023 0.629569 12956.569830
12959.948420 0.684662 0.365390 0.627961 12959.685480
12963.300200 0.684420 0.365912 0.626178 12963.029170
12966.632950 0.684235 0.366530 0.624221 12966.789830
12970.018480 0.684345 0.367202 0.622549 12970.172140
12973.491680 0.684593 0.367982 0.620788 12973.300630
12976.911130 0.685010 0.368868 0.618996 12976.568960
12980.238430 0.683872 0.368918 0.617198 12980.268200
12983.647670 0.684185 0.369750 0.615401 12983.791990
12987.130840 0.683375 0.370015 0.613500 12987.059360
12990.519440 0.684580 0.371208 0.612044 12990.120200
12993.884310 0.684673 0.371968 0.610134 12993.581370
12997.263800 0.684495 0.372613 0.608142 12997.408690
13004.185630 0.684145 0.373615 0.604944 13003.811590
13008.244710 0.684427 0.374560 0.602831 13007.864210
13012.323940 0.685087 0.375818 0.600443 13012.382840
13016.361480 0.684435 0.376283 0.598253 13016.294440
13020.461240 0.684745 0.377135 0.596443 13020.007030
13024.440930 0.684392 0.377770 0.594246 13024.276240
13028.547180 0.684468 0.378645 0.592042 13028.595180
13032.651460 0.685250 0.379837 0.590040 13032.393810
13036.690490 0.684780 0.380350 0.588006 13036.256030
13040.740360 0.680980 0.379092 0.585753 13040.801470
